1. ID: efd24c9a-4500-47dc-bf38-37367d1d9547 | Name: 'Combo 10 X 7' | USD: 7 | BsMan: 5880 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
2. ID: ba983074-8bd0-4f7b-8d3c-75412a0499f4 | Name: 'CHEEKESITOS PEQUEÑO' | USD: 1.18 | BsMan: 944 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
3. ID: 38ad6e54-6574-48a7-b5dd-10d6f6188b3b | Name: 'CHEETOS PEQUEÑO' | USD: 1 | BsMan: 800 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
4. ID: fe5e7e76-f0d9-4ce8-bf8a-470472ca3c75 | Name: 'JUSTY ' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
5. ID: 2be1afc7-ff9a-4789-a581-d178cd1a45b3 | Name: 'Glup 2lt' | USD: 1.31 | BsMan: 1048 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
6. ID: prod_juancho_1783994743_0 | Name: 'Cerveza Zulia' | USD: 1 | BsMan: 700 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
7. ID: prod_juancho_1783994743_1 | Name: 'Zulia Lata' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
8. ID: prod_juancho_1783994743_2 | Name: 'Tercio Polar' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
9. ID: prod_juancho_1783994743_3 | Name: 'Cerveza Polar Negrita' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
10. ID: prod_juancho_1783994743_4 | Name: 'Polar Light Lata Pequeña' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
11. ID: prod_juancho_1783994743_5 | Name: 'Polar Light Lata Grande' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
12. ID: prod_juancho_1783994743_6 | Name: 'Polar Light ' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
13. ID: prod_juancho_1783994743_7 | Name: 'Polar Pilsen Lata Grande' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
14. ID: prod_juancho_1783994743_8 | Name: 'Polar Pilsen Lata Pequeña' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
15. ID: prod_juancho_1783994743_9 | Name: 'Malta Retornable' | USD: 0.87 | BsMan: 696 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
16. ID: prod_juancho_1783994743_10 | Name: 'Malta Grande' | USD: 2.4 | BsMan: 1920 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
17. ID: prod_juancho_1783994743_11 | Name: 'Malta Lata' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
18. ID: prod_juancho_1783994743_12 | Name: 'Glup 1 Litro' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
19. ID: prod_juancho_1783994743_13 | Name: 'Golden 2 Litros' | USD: 1.8 | BsMan: 1440 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
20. ID: prod_juancho_1783994743_14 | Name: 'Soda Milnava Lata' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
21. ID: prod_juancho_1783994743_15 | Name: 'Caroreña Lata Pequeña' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
22. ID: prod_juancho_1783994743_16 | Name: 'Coca-Cola Lata' | USD: 1.3 | BsMan: 1040 | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
23. ID: prod_juancho_1783994743_17 | Name: 'Solera Lata' | USD: 1 | BsMan: None | BoxUSD: None | BoxBs: None | HalfUSD: None | HalfBs: None | ForceBCV: None
